team,snapshot_date,atmosphere_score,leadership_continuity,staff_stability,momentum_score,pressure_risk,source_tier,source_note
Mexico,2026-06-11,62,66,58,69,53,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
South Africa,2026-06-11,56,56,52,59,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Korea Republic,2026-06-11,58,56,52,66,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Czechia,2026-06-11,59,56,52,68,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Canada,2026-06-11,59,66,58,59,53,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Bosnia and Herzegovina,2026-06-11,54,50,52,57,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Qatar,2026-06-11,48,50,44,48,51,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Switzerland,2026-06-11,60,61,52,67,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Brazil,2026-06-11,62,63,58,75,60,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Morocco,2026-06-11,58,50,52,70,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Haiti,2026-06-11,55,56,52,56,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Scotland,2026-06-11,55,50,52,62,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
USA,2026-06-11,60,66,58,63,53,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Paraguay,2026-06-11,56,56,52,59,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Australia,2026-06-11,57,56,52,61,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Türkiye,2026-06-11,62,56,61,71,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Germany,2026-06-11,65,69,62,82,67,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Curacao,2026-06-11,54,56,52,53,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Cote d'Ivoire,2026-06-11,58,50,61,65,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Ecuador,2026-06-11,55,50,52,61,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Netherlands,2026-06-11,65,69,58,74,50,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Japan,2026-06-11,58,56,56,68,52,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Sweden,2026-06-11,54,61,44,57,51,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Tunisia,2026-06-11,56,56,52,58,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Belgium,2026-06-11,64,61,61,74,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Egypt,2026-06-11,55,50,52,61,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
IR Iran,2026-06-11,53,45,52,59,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
New Zealand,2026-06-11,49,56,44,45,51,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Spain,2026-06-11,66,69,67,77,60,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Cabo Verde,2026-06-11,53,45,52,59,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Saudi Arabia,2026-06-11,54,56,52,57,51,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Uruguay,2026-06-11,62,64,58,70,50,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
France,2026-06-11,67,69,67,79,60,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Senegal,2026-06-11,63,61,61,71,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Iraq,2026-06-11,56,56,52,58,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Norway,2026-06-11,62,61,61,66,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Argentina,2026-06-11,63,63,62,80,67,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Algeria,2026-06-11,60,56,61,67,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Austria,2026-06-11,63,61,61,71,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Jordan,2026-06-11,55,56,52,56,45,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
Portugal,2026-06-11,59,61,52,70,55,structured_manual,"Derived from current form, World Cup history, injury risk, host status, squad status and manual context priors. Replace with news/sentiment/coach-tenure sources when available."
