team,source_team,snapshot_date,source_url,previous_appearances,last_appearance,wins,draws,losses,best_result,qatar_2022,note
Mexico,Mexico,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,17,2022,17,15,28,Quarter-finalists 1970 1986,Group stage,"Co-host; seven straight last-16 exits ended in Qatar group stage."
South Africa,South Africa,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,3,2010,2,4,3,Group stage 1998 2002 2010,DNQ,"First appearance since hosting 2010."
Korea Republic,South Korea,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,11,2022,7,10,21,Fourth place 2002,Round of 16,"Long active appearance streak; two knockout appearances since 2002."
Czechia,Czech Republic,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,9,2006,12,5,16,Runners up 1934 1962,DNQ,"Includes Czechoslovakia record in source."
Canada,Canada,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,2,2022,0,0,6,Group stage 1986 2022,Group stage,"Still awaiting first World Cup point."
Bosnia and Herzegovina,Bosnia and Herzegovina,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,2014,1,0,2,Group stage,DNQ,"Second World Cup since the break-up of Yugoslavia."
Qatar,Qatar,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,2022,0,0,3,Group stage 2022,Group stage,"First successful qualification after hosting 2022."
Switzerland,Switzerland,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,12,2022,14,8,19,Quarter-finals 1934 1938 1954,Round of 16,"Frequent modern last-16 exits."
Brazil,Brazil,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,22,2022,76,19,19,Winners 1958 1962 1970 1994 2002,Quarter-finals,"Only team to appear at every World Cup; record five titles."
Morocco,Morocco,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,2022,5,7,11,Fourth place 2022,Fourth place,"First African semi-finalist."
Haiti,Haiti,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,1974,0,0,3,Group stage 1974,DNQ,"One previous appearance in 1974."
Scotland,Scotland,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,8,1998,4,7,12,Group stage 1954 1958 1974 1978 1982 1986 1990 1998,DNQ,"Never beyond group stage."
USA,United States,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,11,2022,9,8,20,Semi-finalists 1930,Round of 16,"Co-host; quarter-final in 2002 noted in source text."
Paraguay,Paraguay,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,8,2010,7,10,10,Quarter-finals 2010,DNQ,"First World Cup since 2010."
Australia,Australia,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,2022,4,4,12,Round of 16 2006 2022,Round of 16,"Sixth consecutive finals appearance."
Türkiye,Turkey,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,2,2002,5,1,4,Third place 2002,DNQ,"Reached semi-finals in 2002."
Germany,Germany,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,20,2022,68,21,23,Winners 1954 1974 1990 2014,Group stage,"Four titles but group-stage exits in last two."
Curacao,Curacao,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,0,First appearance,0,0,0,First appearance,DNQ,"First World Cup appearance."
Cote d'Ivoire,Ivory Coast,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,3,2014,3,1,5,Group stage 2006 2010 2014,DNQ,"Won a game at each previous World Cup but never escaped group."
