team,origin_city,origin_country,lat,lon,utc_offset_june,source_note
Mexico,Mexico City,Mexico,19.4326,-99.1332,-6,Representative federation/home hub for entry-distance estimate.
South Africa,Johannesburg,South Africa,-26.2041,28.0473,2,Representative federation/home hub for entry-distance estimate.
Korea Republic,Seoul,South Korea,37.5665,126.9780,9,Representative federation/home hub for entry-distance estimate.
Czechia,Prague,Czechia,50.0755,14.4378,2,Representative federation/home hub for entry-distance estimate.
Canada,Toronto,Canada,43.6532,-79.3832,-4,Representative federation/home hub for entry-distance estimate.
Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,43.8563,18.4131,2,Representative federation/home hub for entry-distance estimate.
Qatar,Doha,Qatar,25.2854,51.5310,3,Representative federation/home hub for entry-distance estimate.
Switzerland,Bern,Switzerland,46.9480,7.4474,2,Representative federation/home hub for entry-distance estimate.
Brazil,Rio de Janeiro,Brazil,-22.9068,-43.1729,-3,Representative federation/home hub for entry-distance estimate.
Morocco,Rabat,Morocco,34.0209,-6.8416,1,Representative federation/home hub for entry-distance estimate.
Haiti,Port-au-Prince,Haiti,18.5944,-72.3074,-4,Representative federation/home hub for entry-distance estimate.
Scotland,Glasgow,Scotland,55.8642,-4.2518,1,Representative federation/home hub for entry-distance estimate.
USA,New York,USA,40.7128,-74.0060,-4,Representative federation/home hub for entry-distance estimate.
Paraguay,Asuncion,Paraguay,-25.2637,-57.5759,-4,Representative federation/home hub for entry-distance estimate.
Australia,Sydney,Australia,-33.8688,151.2093,10,Representative federation/home hub for entry-distance estimate.
Türkiye,Istanbul,Turkey,41.0082,28.9784,3,Representative federation/home hub for entry-distance estimate.
Germany,Frankfurt,Germany,50.1109,8.6821,2,Representative federation/home hub for entry-distance estimate.
Curacao,Willemstad,Curacao,12.1224,-68.8824,-4,Representative federation/home hub for entry-distance estimate.
Cote d'Ivoire,Abidjan,Cote d'Ivoire,5.3600,-4.0083,0,Representative federation/home hub for entry-distance estimate.
Ecuador,Quito,Ecuador,-0.1807,-78.4678,-5,Representative federation/home hub for entry-distance estimate.
Netherlands,Amsterdam,Netherlands,52.3676,4.9041,2,Representative federation/home hub for entry-distance estimate.
Japan,Tokyo,Japan,35.6762,139.6503,9,Representative federation/home hub for entry-distance estimate.
Sweden,Stockholm,Sweden,59.3293,18.0686,2,Representative federation/home hub for entry-distance estimate.
Tunisia,Tunis,Tunisia,36.8065,10.1815,1,Representative federation/home hub for entry-distance estimate.
Belgium,Brussels,Belgium,50.8503,4.3517,2,Representative federation/home hub for entry-distance estimate.
Egypt,Cairo,Egypt,30.0444,31.2357,3,Representative federation/home hub for entry-distance estimate.
IR Iran,Tehran,Iran,35.6892,51.3890,3.5,Representative federation/home hub for entry-distance estimate.
New Zealand,Auckland,New Zealand,-36.8509,174.7645,12,Representative federation/home hub for entry-distance estimate.
Spain,Madrid,Spain,40.4168,-3.7038,2,Representative federation/home hub for entry-distance estimate.
Cabo Verde,Praia,Cape Verde,14.9331,-23.5133,-1,Representative federation/home hub for entry-distance estimate.
Saudi Arabia,Riyadh,Saudi Arabia,24.7136,46.6753,3,Representative federation/home hub for entry-distance estimate.
Uruguay,Montevideo,Uruguay,-34.9011,-56.1645,-3,Representative federation/home hub for entry-distance estimate.
France,Paris,France,48.8566,2.3522,2,Representative federation/home hub for entry-distance estimate.
Senegal,Dakar,Senegal,14.7167,-17.4677,0,Representative federation/home hub for entry-distance estimate.
Iraq,Baghdad,Iraq,33.3152,44.3661,3,Representative federation/home hub for entry-distance estimate.
Norway,Oslo,Norway,59.9139,10.7522,2,Representative federation/home hub for entry-distance estimate.
Argentina,Buenos Aires,Argentina,-34.6037,-58.3816,-3,Representative federation/home hub for entry-distance estimate.
Algeria,Algiers,Algeria,36.7538,3.0588,1,Representative federation/home hub for entry-distance estimate.
Austria,Vienna,Austria,48.2082,16.3738,2,Representative federation/home hub for entry-distance estimate.
Jordan,Amman,Jordan,31.9539,35.9106,3,Representative federation/home hub for entry-distance estimate.
Portugal,Lisbon,Portugal,38.7223,-9.1393,1,Representative federation/home hub for entry-distance estimate.
Congo DR,Kinshasa,Democratic Republic of the Congo,-4.4419,15.2663,1,Representative federation/home hub for entry-distance estimate.
Uzbekistan,Tashkent,Uzbekistan,41.2995,69.2401,5,Representative federation/home hub for entry-distance estimate.
Colombia,Bogota,Colombia,4.7110,-74.0721,-5,Representative federation/home hub for entry-distance estimate.
England,London,England,51.5072,-0.1276,1,Representative federation/home hub for entry-distance estimate.
Croatia,Zagreb,Croatia,45.8150,15.9819,2,Representative federation/home hub for entry-distance estimate.
Ghana,Accra,Ghana,5.6037,-0.1870,0,Representative federation/home hub for entry-distance estimate.
Panama,Panama City,Panama,8.9824,-79.5199,-5,Representative federation/home hub for entry-distance estimate.
