year,champion,path_summary,notable_path_features,source
1930,Uruguay,"Peru 1-0; Romania 4-0; Yugoslavia 6-1; Argentina 4-2","short early-format path; home champion; high-scoring semifinal/final",deep-research-report.md
1934,Italy,"USA 7-1; Spain 1-1 replay 1-0; Austria 1-0; Czechoslovakia 2-1 aet","replay quarterfinal; extra-time final; host champion",deep-research-report.md
1938,Italy,"Norway 2-1 aet; France 3-1; Brazil 2-1; Hungary 4-2","extra-time opener; beat host France and Brazil",deep-research-report.md
1950,Uruguay,"Bolivia 8-0; Spain 2-2; Sweden 3-2; Brazil 2-1","final group format; decisive win over host Brazil",deep-research-report.md
1954,West Germany,"Turkey 4-1; Hungary 3-8; Turkey 7-2; Yugoslavia 2-0; Austria 6-1; Hungary 3-2","group loss to finalist; playoff; upset final",deep-research-report.md
1958,Brazil,"Austria 3-0; England 0-0; USSR 2-0; Wales 1-0; France 5-2; Sweden 5-2","unbeaten; beat host Sweden; strong knockout scoring",deep-research-report.md
1962,Brazil,"Mexico 2-0; Czechoslovakia 0-0; Spain 2-1; England 3-1; Chile 4-2; Czechoslovakia 3-1","unbeaten; beat host Chile; final rematch",deep-research-report.md
1966,England,"Uruguay 0-0; Mexico 2-0; France 2-0; Argentina 1-0; Portugal 2-1; West Germany 4-2 aet","home champion; extra-time final; strong defensive run",deep-research-report.md
1970,Brazil,"Czechoslovakia 4-1; England 1-0; Romania 3-2; Peru 4-2; Uruguay 3-1; Italy 4-1","perfect record; multiple former champions beaten",deep-research-report.md
1974,West Germany,"Chile 1-0; Australia 3-0; East Germany 0-1; Yugoslavia 2-0; Sweden 4-2; Poland 1-0; Netherlands 2-1","second group phase; group loss; host champion",deep-research-report.md
1978,Argentina,"Hungary 2-1; France 2-1; Italy 0-1; Poland 2-0; Brazil 0-0; Peru 6-0; Netherlands 3-1 aet","second group phase; group loss; extra-time final; host champion",deep-research-report.md
1982,Italy,"Poland 0-0; Peru 1-1; Cameroon 1-1; Argentina 2-1; Brazil 3-2; Poland 2-0; West Germany 3-1","three group draws; beat Argentina and Brazil in second group",deep-research-report.md
1986,Argentina,"Korea Republic 3-1; Italy 1-1; Bulgaria 2-0; Uruguay 1-0; England 2-1; Belgium 2-0; West Germany 3-2","unbeaten; strong knockout opponents; close final",deep-research-report.md
1990,West Germany,"Yugoslavia 4-1; UAE 5-1; Colombia 1-1; Netherlands 2-1; Czechoslovakia 1-0 aet; England 1-1 pens; Argentina 1-0","extra time and penalties; beat Netherlands England Argentina",deep-research-report.md
1994,Brazil,"Russia 2-0; Cameroon 3-0; Sweden 1-1; USA 1-0; Netherlands 3-2; Sweden 1-0; Italy 0-0 pens","penalty final; unbeaten; close knockout margins",deep-research-report.md
1998,France,"South Africa 3-0; Saudi Arabia 4-0; Denmark 2-1; Paraguay 1-0; Italy 0-0 pens; Croatia 2-1; Brazil 3-0","home champion; penalty quarterfinal; dominant final",deep-research-report.md
2002,Brazil,"Turkey 2-1; China 4-0; Costa Rica 5-2; Belgium 2-0; England 2-1; Turkey 1-0; Germany 2-0","perfect record; repeat opponent Turkey; beat England and Germany",deep-research-report.md
2006,Italy,"Ghana 2-0; USA 1-1; Czechia 2-0; Australia 1-0; Ukraine 3-0; Germany 2-0 aet; France 1-1 pens","extra-time semifinal; penalty final; strong defense",deep-research-report.md
2010,Spain,"Switzerland 0-1; Honduras 2-0; Chile 2-1; Portugal 1-0; Paraguay 1-0; Germany 1-0; Netherlands 1-0 aet","opening loss; five straight one-goal knockout-style wins; extra-time final",deep-research-report.md
2014,Germany,"Portugal 4-0; Ghana 2-2; USA 1-0; Algeria 2-1 aet; France 1-0; Brazil 7-1; Argentina 1-0 aet","extra-time R16 and final; historic semifinal win over host Brazil",deep-research-report.md
2018,France,"Australia 2-1; Peru 1-0; Denmark 0-0; Argentina 4-3; Uruguay 2-0; Belgium 1-0; Croatia 4-2","unbeaten; high-difficulty knockout path",deep-research-report.md
2022,Argentina,"Saudi Arabia 1-2; Mexico 2-0; Poland 2-0; Australia 2-1; Netherlands 2-2 pens; Croatia 3-0; France 3-3 pens","opening loss; two penalty wins; beat Netherlands Croatia France",deep-research-report.md
